<2,<5,<10,>10%,>25%,>50%,>75%,total_voxels,avg_filled,med_filled,max,min,median,mean
0.04,0.13,0.22,0.51,0.33,0.21,0.16,1009,0.27,0.11,500,1,53,136.75
0.04,0.14,0.2,0.51,0.31,0.19,0.14,1051,0.26,0.1,500,1,52,129.875
0.05,0.14,0.21,0.47,0.28,0.17,0.13,1108,0.24,0.09,500,1,46,120.25
0.05,0.13,0.21,0.5,0.29,0.17,0.13,1080,0.24,0.1,500,1,50,122.125
0.04,0.12,0.2,0.49,0.3,0.18,0.12,1064,0.25,0.1,500,1,49,123.125
0.03,0.11,0.19,0.52,0.31,0.19,0.13,1018,0.26,0.11,500,1,54,128.125
0.04,0.13,0.23,0.48,0.29,0.18,0.13,1072,0.24,0.09,500,1,46,121.9375
0.05,0.13,0.23,0.5,0.29,0.18,0.13,1065,0.25,0.1,500,1,51,123.75
0.04,0.13,0.2,0.54,0.33,0.19,0.13,990,0.27,0.12,500,1,59,133.375
0.04,0.11,0.16,0.56,0.35,0.2,0.14,951,0.28,0.13,500,1,65,138.25
0.05,0.11,0.19,0.54,0.34,0.2,0.14,952,0.27,0.11,500,1,57,134.875
0.11,0.27,0.41,0.22,0.1,0.04,0.02,533,0.09,0.03,500,1,13,47.21875
0.05,0.15,0.23,0.47,0.32,0.21,0.16,811,0.27,0.08,500,1,42,133.0
0.06,0.16,0.28,0.45,0.29,0.19,0.15,886,0.25,0.07,500,1,35,122.75
0.06,0.17,0.28,0.45,0.29,0.18,0.13,861,0.24,0.08,500,1,39,119.1875
0.08,0.18,0.27,0.43,0.3,0.18,0.14,752,0.25,0.07,500,1,36,122.8125
0.07,0.16,0.28,0.43,0.28,0.19,0.15,736,0.24,0.07,500,1,33,121.8125
0.06,0.18,0.29,0.47,0.33,0.22,0.19,666,0.28,0.08,500,1,38,139.625
0.08,0.19,0.28,0.45,0.29,0.21,0.17,694,0.26,0.08,500,1,38,130.5
0.07,0.19,0.31,0.46,0.33,0.22,0.17,644,0.27,0.08,500,1,39,135.75
0.07,0.18,0.29,0.4,0.26,0.19,0.15,703,0.24,0.05,500,1,27,117.6875
0.07,0.16,0.27,0.43,0.26,0.18,0.15,684,0.24,0.07,500,1,34,118.0625
0.05,0.14,0.23,0.52,0.31,0.21,0.17,618,0.27,0.11,500,1,55,136.625
0.06,0.13,0.22,0.53,0.34,0.23,0.18,660,0.29,0.12,500,1,62,146.875
0.05,0.12,0.2,0.56,0.39,0.26,0.2,682,0.32,0.14,500,1,69,160.75
0.06,0.13,0.21,0.55,0.4,0.28,0.21,700,0.33,0.14,500,1,72,166.625
0.04,0.12,0.16,0.61,0.43,0.3,0.24,659,0.36,0.19,500,1,94,181.5
0.04,0.13,0.19,0.59,0.43,0.3,0.23,726,0.35,0.18,500,1,88,175.875
0.04,0.1,0.17,0.6,0.43,0.3,0.23,715,0.36,0.18,500,1,91,179.125
0.06,0.14,0.21,0.56,0.42,0.27,0.21,754,0.33,0.16,500,1,78,167.25
0.06,0.12,0.18,0.58,0.39,0.28,0.21,739,0.33,0.17,500,1,83,167.375
0.06,0.13,0.21,0.55,0.37,0.24,0.18,781,0.3,0.12,500,1,62,152.25
0.07,0.15,0.24,0.49,0.33,0.23,0.17,845,0.28,0.1,500,1,49,137.75
0.07,0.16,0.24,0.46,0.31,0.21,0.15,880,0.26,0.08,500,1,40,129.5
0.06,0.16,0.24,0.49,0.33,0.22,0.17,835,0.28,0.1,500,1,48,139.125
0.05,0.12,0.22,0.55,0.38,0.28,0.2,747,0.33,0.14,500,1,70,162.75
0.05,0.12,0.17,0.6,0.42,0.3,0.23,707,0.36,0.18,500,1,92,178.625
0.05,0.14,0.2,0.57,0.41,0.28,0.21,779,0.33,0.14,500,1,70,167.0
0.05,0.13,0.2,0.56,0.37,0.26,0.2,825,0.32,0.13,500,1,66,158.125
0.05,0.15,0.25,0.48,0.31,0.21,0.17,964,0.27,0.09,500,1,46,134.0
0.04,0.14,0.22,0.49,0.33,0.21,0.16,994,0.27,0.09,500,1,46,136.625
0.07,0.16,0.26,0.47,0.3,0.2,0.15,1080,0.25,0.09,500,1,43,127.0625
0.05,0.13,0.21,0.52,0.32,0.21,0.14,1053,0.27,0.12,500,1,60,134.125
0.05,0.13,0.21,0.54,0.33,0.2,0.14,1092,0.27,0.12,500,1,61,132.75
0.04,0.13,0.23,0.47,0.27,0.15,0.11,1316,0.22,0.09,500,1,43,111.9375
0.05,0.14,0.23,0.47,0.28,0.16,0.1,1310,0.22,0.08,500,1,42,112.5
0.05,0.12,0.2,0.52,0.31,0.16,0.1,1226,0.24,0.11,500,1,57,118.6875
0.04,0.12,0.2,0.54,0.32,0.16,0.12,1178,0.25,0.12,500,1,61,125.1875
0.04,0.1,0.18,0.54,0.29,0.16,0.11,1208,0.24,0.12,500,1,60,120.3125
0.06,0.14,0.22,0.5,0.29,0.16,0.13,1225,0.24,0.1,500,1,50,119.4375
0.06,0.13,0.22,0.52,0.3,0.18,0.13,1175,0.25,0.11,500,1,57,126.0625
0.09,0.27,0.39,0.2,0.08,0.03,0.02,674,0.08,0.03,500,1,13,41.90625
0.08,0.19,0.27,0.46,0.29,0.2,0.15,1090,0.25,0.08,500,1,42,127.4375
0.06,0.15,0.21,0.56,0.39,0.24,0.2,840,0.31,0.14,500,1,68,155.875
0.05,0.13,0.19,0.57,0.35,0.24,0.19,818,0.31,0.14,500,1,72,154.375
0.04,0.11,0.2,0.54,0.34,0.25,0.2,785,0.31,0.13,500,1,63,154.875
0.06,0.13,0.21,0.5,0.34,0.26,0.21,747,0.31,0.1,500,1,52,155.125
